Date,TÜİK Monthly (%),TÜİK Annualized (%),ENAG Monthly (%),ENAG Annualized (%),İTO Monthly (%),İTO Annualized (%)
Eki 2020,2.13,,2.56,,2.45,12.4
Kas 2020,2.3,,3.43,,1.94,14.07
Ara 2020,1.25,,4.08,,1.36,14.4
Oca 2021,1.68,,2.99,,1.16,15.05
Şub 2021,0.91,,1.84,,1.48,15.45
Mar 2021,1.08,,3.36,,1.13,16.37
Nis 2021,1.68,,2.62,,1.01,16.34
May 2021,0.89,,3.94,,1.67,15.78
Haz 2021,1.94,17.53,3.28,,0.36,16.12
Tem 2021,1.8,18.95,4.89,,1.52,17.38
Ağu 2021,1.12,19.25,4.06,,1.88,18.89
Eyl 2021,1.25,19.58,2.89,48.07,2.22,19.77
Eki 2021,2.39,19.89,6.9,54.34,3.29,20.76
Kas 2021,3.51,21.3,9.91,64.01,4.71,24.05
Ara 2021,13.58,36.08,19.35,88.07,9.65,34.18
Oca 2022,11.1,48.68,15.52,110.95,13.78,50.91
Şub 2022,4.81,54.43,5.44,118.41,4.44,55.32
Mar 2022,5.46,61.12,11.93,136.52,6.29,63.25
Nis 2022,7.25,69.95,8.68,150.49,11.36,79.97
May 2022,2.98,73.47,5.46,154.15,5.84,87.35
Haz 2022,4.95,78.59,8.31,166.53,4.03,94.19
Tem 2022,2.37,79.59,5.03,166.88,4.09,99.11
Ağu 2022,1.46,80.19,5.86,171.5,2.29,99.91
Eyl 2022,3.08,83.45,5.3,177.86,6.06,107.42
Eki 2022,3.54,85.51,7.18,178.59,3.96,108.77
Kas 2022,2.88,84.38,4.24,164.22,3.1,105.55
Ara 2022,1.18,64.25,5.18,132.85,2.94,92.97
Oca 2023,6.65,57.67,9.26,120.23,5.94,79.68
Şub 2023,3.15,55.18,7.21,123.93,3.83,78.62
Mar 2023,2.29,50.51,5.08,110.22,2.95,73.02
Nis 2023,2.39,43.69,4.86,102.83,4.57,62.46
May 2023,0.04,39.59,7.35,106.47,1.66,56.05
Haz 2023,3.92,38.22,8.54,106.91,3.46,55.19
Tem 2023,9.49,47.83,13.18,122.96,9.84,63.76
Ağu 2023,9.09,58.95,8.59,128.71,8.8,74.17
Eyl 2023,4.75,61.53,6.24,130.75,5.46,73.18
Eki 2023,3.43,61.35,5.09,126.25,3.69,72.73
Kas 2023,3.28,61.98,5.58,129.16,3.79,73.89
Ara 2023,2.93,64.78,4.12,126.85,3.52,74.88
Oca 2024,6.7,64.86,9.38,127.1,6.72,76.17
Şub 2024,4.53,67.07,4.32,120.98,4.07,76.58
Mar 2024,3.16,68.49,5.68,122.24,3.93,78.25
Nis 2024,3.18,69.79,5.02,122.58,4.89,78.81
May 2024,3.37,75.44,5.66,119.08,3.59,82.2
Haz 2024,1.64,71.59,4.27,110.46,3.42,82.14
Tem 2024,3.23,61.78,5.91,96.94,4.21,72.8
Ağu 2024,2.47,51.96,3.47,87.65,1.73,61.57
Eyl 2024,2.97,49.38,5.34,86.06,3.9,59.18
Eki 2024,2.88,48.58,5.57,86.91,3.64,59.1
Kas 2024,2.24,47.09,4.06,84.22,3.07,57.99
Ara 2024,1.03,44.37,2.34,81.07,1.74,55.27
Oca 2025,5.03,42.11,8.22,79.15,5.16,48.4
Şub 2025,2.27,39.04,3.37,77.52,3.19,45.35
Mar 2025,2.46,38.1,3.91,74.55,3.79,46.23
Nis 2025,3,37.86,4.46,73.88,3.21,47.21
May 2025,1.53,35.41,3.66,71.23,2.83,46.57
Haz 2025,1.37,35.05,3.05,68.68,1.77,44.38
Tem 2025,2.06,33.52,3.75,65.15,2.62,42.48
Ağu 2025,2.04,32.95,3.23,65.49,1.84,40.83
Eyl 2025,3.23,33.29,3.79,63.23,3.19,40.75
